CustomerId,ProductId,Quantity,Gender,Category,SubCategory,ProductType,Colour,Usage,ProductTitle,Image,ImageURL
7,3322,2,Boys,Apparel,Topwear,Tshirts,Blue,Sports,KKR Boys Fangear Polo Jersey,3322.jpg,http://assets.myntassets.com/v1/images/style/properties/KKR-Boys-Fangear-Polo-Jersey_c57446313d4ab98c58239852f8ff89ef_images.jpg
7,44528,3,Men,Footwear,Sandal,Sandals,Black,Casual,Coolers Men Black Sandals,44528.jpg,http://assets.myntassets.com/v1/images/style/properties/5fdccf41dafc022f36adea9a7df6751c_images.jpg
7,31970,1,Men,Footwear,Shoes,Sports Shoes,Black,Sports,Nike Men Lengo Black Sports Shoes,31970.jpg,http://assets.myntassets.com/v1/images/style/properties/721c5675ac5e1e58e2b864aa122c12df_images.jpg
7,41867,2,Men,Footwear,Sandal,Sandals,Red,Casual,Estd. 1977 Men Red & Brown Sandals,41867.jpg,http://assets.myntassets.com/v1/images/style/properties/43db177ea76d2f7a1c6ba451fa94200a_images.jpg
7,48242,3,Boys,Apparel,Topwear,Tshirts,Grey Melange,Casual,Avengers Boys Grey Printed T-shirt,48242.jpg,http://assets.myntassets.com/v1/images/style/properties/9dfe91cab074f7766e2bfc5a8d47c446_images.jpg
8,8338,3,Boys,Apparel,Topwear,Tshirts,White,Casual,Doodle Boy's 77 Juniors League White Black Kidswear,8338.jpg,http://assets.myntassets.com/v1/images/style/properties/1a5a66f4734649b11c905a1853486acd_images.jpg
8,3567,1,Men,Footwear,Shoes,Sports Shoes,Silver,Sports,ADIDAS Men's Silver White Running Shoe,3567.jpg,http://assets.myntassets.com/v1/images/style/properties/7210fc2b108553e1603a5ba8d5dcf0e5_images.jpg
8,2504,2,Men,Footwear,Shoes,Casual Shoes,White,Casual,Numero Uno Men's Casual White Canvas Shoe,2504.jpg,http://assets.myntassets.com/v1/images/style/properties/0f7f710f647111940975e75aa0303fe8_images.jpg
8,39742,3,Men,Footwear,Shoes,Casual Shoes,Red,Casual,Arrow Men Red Shoes,39742.jpg,http://assets.myntassets.com/v1/images/style/properties/a5ab934bf95b73af42ac8f3ef4f3030e_images.jpg
8,37559,3,Girls,Apparel,Bottomwear,Shorts,Green,Casual,Madagascar3 Girls Green Shorts,37559.jpg,http://assets.myntassets.com/v1/images/style/properties/d51cfcda64ad50e35d55be5de01b7836_images.jpg
8,22705,2,Men,Footwear,Shoes,Casual Shoes,White,Casual,Nike Men White Capri II Casual Shoe,22705.jpg,http://assets.myntassets.com/v1/images/style/properties/9f8463e724322e0b47cc9f615acab635_images.jpg
9,40947,1,Boys,Apparel,Topwear,Tshirts,Red,Casual,Gini and Jony Boys Core Red T-shirt,40947.jpg,http://assets.myntassets.com/v1/images/style/properties/ecfcc90e4ae597955732adf2680b9fa3_images.jpg
9,17742,2,Women,Footwear,Shoes,Sports Shoes,White,Sports,Puma Women Body Train White Sports Shoes,17742.jpg,http://assets.myntassets.com/v1/images/style/properties/ec7d8fa4b445b7dfc7ccb3bea4c001d6_images.jpg
9,3595,2,Men,Footwear,Shoes,Casual Shoes,Red,Casual,Converse Men's Chuck Taylor Big Check Red Black Canvas Shoe,3595.jpg,http://assets.myntassets.com/v1/images/style/properties/bdd2eed1b066a2e060bf864cbf8bfece_images.jpg
9,16969,2,Men,Footwear,Sandal,Sandals,Black,Casual,Puma Men Coupe Black Sandal,16969.jpg,http://assets.myntassets.com/v1/images/style/properties/efca982ea19c2521dda37ed9fb603799_images.jpg
9,33646,2,Men,Footwear,Sandal,Sandals,Black,Casual,Lotto Men Ridge Black Sandals,33646.jpg,http://assets.myntassets.com/v1/images/style/properties/affe3aa43d16e7d72433a0a2d82cfc9d_images.jpg
9,2730,3,Girls,Apparel,Topwear,Tops,Red,Casual,Disney Kids Girl's Red Round Neck Kidswear,2730.jpg,http://assets.myntassets.com/v1/images/style/properties/f8e9d4b05e862f363784a8921bb44049_images.jpg
10,34095,3,Girls,Apparel,Dress,Dresses,Off White,Casual,Doodle Girls Printed Multi Coloured Dress,34095.jpg,http://assets.myntassets.com/v1/images/style/properties/3e06ff4576a32b7ccc07c3e6cc222534_images.jpg
10,8364,2,Girls,Apparel,Topwear,Tshirts,Blue,Casual,Doodle Girl's Happy Smiles Blue Pink Kidswear,8364.jpg,http://assets.myntassets.com/v1/images/style/properties/3f5b0b70fc152be5dd9170a8d0764b5c_images.jpg
11,47475,1,Women,Footwear,Shoes,Flats,Black,Casual,Tiptopp Women Black Flats,47475.jpg,http://assets.myntassets.com/v1/images/style/properties/dc041aafe1966410113ed038d91bb2fb_images.jpg
11,8361,3,Girls,Apparel,Topwear,Tshirts,Green,Casual,Doodle Girl's Tonight Night Rock Light Green Kidswear,8361.jpg,http://assets.myntassets.com/v1/images/style/properties/d335032e77ab4c39f6df292e323741cc_images.jpg
12,46334,3,Women,Footwear,Shoes,Sports Shoes,White,Sports,Reebok Women White Zignano Race Sports Shoes,46334.jpg,http://assets.myntassets.com/v1/images/style/properties/2d4cfe868e2140cf089ea0761ea18335_images.jpg
12,7331,2,Men,Footwear,Shoes,Formal Shoes,Brown,Formal,Red Tape Men's Formal Light Brown Shoe,7331.jpg,http://assets.myntassets.com/v1/images/style/properties/067ed592a5c26be0a4b6a6adbb4f9feb_images.jpg
12,6821,2,Men,Footwear,Sandal,Sandals,Brown,Casual,Timberland Men City Brown Floater,6821.jpg,http://assets.myntassets.com/v1/images/style/properties/402ce454f57316b103826e998e799dc2_images.jpg
12,4140,1,Women,Footwear,Shoes,Casual Shoes,Green,Casual,Skechers Women Green Shoe,4140.jpg,http://assets.myntassets.com/v1/images/style/properties/7de650b81e8fd8be54794b6f466f3b8e_images.jpg
12,31091,3,Boys,Apparel,Topwear,Shirts,White,Casual,Gini and Jony Boys White Shirt,31091.jpg,http://assets.myntassets.com/v1/images/style/properties/2ba9210a78283b9b946d0f5e90c3c31f_images.jpg
12,5601,1,Men,Footwear,Flip Flops,Flip Flops,Brown,Casual,Nike Men's Splash Thong Yellow Black Flip Flop,5601.jpg,http://assets.myntassets.com/v1/images/style/properties/31cec799c74c62b9785cc809953ae766_images.jpg
12,24943,2,Girls,Apparel,Topwear,Tshirts,White,Casual,United Colors of Benetton Kids Girls White T-shirt,24943.jpg,http://assets.myntassets.com/v1/images/style/properties/788904686845d131b3080703b7ed833f_images.jpg
13,22638,1,Boys,Apparel,Topwear,Tshirts,Grey,Casual,Nike Kids Boys Printed Grey T-shirt,22638.jpg,http://assets.myntassets.com/v1/images/style/properties/a3c1f5e2e4fa51f0b7bbee029c51ca27_images.jpg
13,4192,3,Boys,Apparel,Topwear,Tshirts,Green,Casual,Disney Kids Boy's Green Naughty Donald Kidswear,4192.jpg,http://assets.myntassets.com/v1/images/style/properties/d9442e7afb62f9966eba6760397193b4_images.jpg
13,19387,3,Men,Footwear,Shoes,Sports Shoes,Beige,Sports,ADIDAS Men Dumont Beige Sports Shoes,19387.jpg,http://assets.myntassets.com/v1/images/style/properties/4667f5416339437dda1dc3510bb0a27d_images.jpg
13,32751,2,Men,Footwear,Shoes,Casual Shoes,Black,Casual,FILA Men Liga II Black Shoes,32751.jpg,http://assets.myntassets.com/v1/images/style/properties/ea051d39d65bfdcba994e6cd49061bd7_images.jpg
13,40127,3,Girls,Apparel,Dress,Dresses,Black,Casual,Gini and Jony Girls Roseatte Black Dress,40127.jpg,http://assets.myntassets.com/v1/images/style/properties/9df82c8db87a057d9bf7d90a02f24d7b_images.jpg
14,21833,2,Boys,Apparel,Topwear,Tshirts,Grey,Casual,Chhota Bheem Kids Boys Lets Rock Grey T-shirt,21833.jpg,http://assets.myntassets.com/v1/images/style/properties/8f22c2fd2009dc888ef7918ff64b5d52_images.jpg
14,33685,3,Men,Footwear,Shoes,Formal Shoes,Black,Formal,Cobblerz Men Black Formal Shoes,33685.jpg,http://assets.myntassets.com/v1/images/style/properties/b3f685b0647893db1800788d924c9f24_images.jpg
14,49494,2,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Casual,Vans Men Navy Blue Shoes,49494.jpg,http://assets.myntassets.com/v1/images/style/properties/Vans-Men-Navy-Blue-Chukka-Boots_68bdb21782c59584f77fc80d9f2413b8_images.jpg
15,41437,1,Men,Footwear,Shoes,Sports Shoes,White,Sports,Lee Cooper Men White Sports Shoes,41437.jpg,http://assets.myntassets.com/v1/images/style/properties/a36c588c364a56bc88de7b50101ba1ca_images.jpg
15,17416,1,Men,Footwear,Shoes,Sports Shoes,Black,Sports,Lotto Men Atlantica Black Sports Shoe,17416.jpg,http://assets.myntassets.com/v1/images/style/properties/1279efc8b61fb461a804f0c1f82f276b_images.jpg
15,41965,1,Boys,Apparel,Topwear,Tshirts,Black,Casual,Gini and Jony Boys Surfs Up Black T-shirt,41965.jpg,http://assets.myntassets.com/v1/images/style/properties/a52e0feef883e2b366adffcdb6c76885_images.jpg
15,37533,2,Boys,Apparel,Innerwear,Innerwear Vests,Yellow,Casual,Madagascar3 Boys Yellow Innerwear Vest,37533.jpg,http://assets.myntassets.com/v1/images/style/properties/e6379ab61d960ed7159ddde764d1d567_images.jpg
16,40978,1,Boys,Apparel,Topwear,Tshirts,Red,Casual,Gini and Jony Boys United Red T-shirt,40978.jpg,http://assets.myntassets.com/v1/images/style/properties/4fb51b6af9daa7d7e7b37a54ee98d6a8_images.jpg
16,15740,1,Women,Footwear,Shoes,Sports Shoes,Grey,Sports,Nike Women Air Relentless Grey Sports Shoes,15740.jpg,http://assets.myntassets.com/v1/images/style/properties/1d8cf73c6bfc5a83421481a1196cc6a5_images.jpg
16,10292,3,Women,Footwear,Shoes,Heels,Brown,Casual,Clarks Women Brown Leather Heels,10292.jpg,http://assets.myntassets.com/v1/images/style/properties/Clarks-Women-Dolphin-Splash-Leather-Silver-Sandals_e55a6fa02cca3f6b6f3fa750619911d4_images.jpg
16,40139,1,Boys,Apparel,Topwear,Tshirts,Navy Blue,Casual,Gini and JonyBoys Around The World Navy Blue T-shirt,40139.jpg,http://assets.myntassets.com/v1/images/style/properties/023bd88503d9668550d5a7e69122ed16_images.jpg
16,15378,3,Men,Footwear,Shoes,Sports Shoes,Grey,Sports,Fila Men Coloda Grey Sports Shoes,15378.jpg,http://assets.myntassets.com/v1/images/style/properties/2b6a95deedb1c844304a7f948250af68_images.jpg
16,13537,1,Men,Footwear,Shoes,Casual Shoes,Brown,Casual,Carlton London Men Casual Brown Casual Shoes,13537.jpg,http://assets.myntassets.com/v1/images/style/properties/685dba93fae4bdbde52dfb398e94955c_images.jpg
17,33823,3,Women,Footwear,Shoes,Sports Shoes,Grey,Sports,Puma Women Axis Grey Sports Shoes,33823.jpg,http://assets.myntassets.com/v1/images/style/properties/c8b500e0481ecfeef752f094fbfca23b_images.jpg
17,44205,3,Women,Footwear,Flip Flops,Flip Flops,Green,Casual,iPanema Women Green Flip Flops,44205.jpg,http://assets.myntassets.com/v1/images/style/properties/bf57669c61f25329c27abc0d4210687a_images.jpg
17,46835,1,Girls,Apparel,Bottomwear,Capris,Blue,Casual,Gini and Jony Girls Blue Capri,46835.jpg,http://assets.myntassets.com/v1/images/style/properties/80672df14a42febd4a31fd0651588cb0_images.jpg
17,53131,3,Women,Footwear,Shoes,Heels,Gold,Casual,Catwalk Women Gold Toned & Brown Flats,53131.jpg,http://assets.myntassets.com/v1/images/style/properties/07e48d8401a4df76bb348457a93c26f0_images.jpg
17,31108,1,Boys,Apparel,Topwear,Tshirts,White,Casual,Palm Tree Boys Printed White T-shirt,31108.jpg,http://assets.myntassets.com/v1/images/style/properties/211cee098af0c1cd3495568820f24509_images.jpg
18,24669,2,Men,Footwear,Shoes,Casual Shoes,Red,Casual,Converse Men Red Casual Shoes,24669.jpg,http://assets.myntassets.com/v1/images/style/properties/5122efbb17cf8719d28f683d5f3b5e50_images.jpg
18,24250,1,Men,Footwear,Shoes,Casual Shoes,White,Casual,Numero Uno Men White Casual Shoes,24250.jpg,http://assets.myntassets.com/v1/images/style/properties/ff82e800185f09437bdd38606dbd4ec6_images.jpg
18,33141,2,Boys,Apparel,Topwear,Tshirts,Green,Casual,Palm Tree Boys Printed Green T-shirt,33141.jpg,http://assets.myntassets.com/v1/images/style/properties/1eb7fb527f85ba592d78e6c088c97944_images.jpg
18,5586,1,Girls,Apparel,Bottomwear,Skirts,Brown,Casual,Ant Kids Girl's Tiger Print Kidswear,5586.jpg,http://assets.myntassets.com/v1/images/style/properties/80805a17e37462f7f2e0373044341164_images.jpg
18,23677,1,Men,Footwear,Sandal,Sandals,Brown,Casual,Red Tape Men Cross Band Brown Sandals,23677.jpg,http://assets.myntassets.com/v1/images/style/properties/ac888d198ff6db5fbee75f6811915cf7_images.jpg
18,3806,1,Boys,Apparel,Topwear,Tshirts,Green,Casual,Disney Kids Boy's Green Mickey Ship Kidswear,3806.jpg,http://assets.myntassets.com/v1/images/style/properties/441d644b183912b3389fd5d063b23f28_images.jpg
18,38493,2,Boys,Apparel,Topwear,Tshirts,Blue,Casual,Gini and Jony Boys Core Blue T-shirt,38493.jpg,http://assets.myntassets.com/v1/images/style/properties/640863ffa96dd3df02a39acbab0167dd_images.jpg
18,14409,1,Women,Footwear,Shoes,Heels,White,Casual,Enroute Women Casual White Heels,14409.jpg,http://assets.myntassets.com/v1/images/style/properties/749afc6258261f28bcd6b94c30f75cba_images.jpg
18,3904,2,Girls,Apparel,Topwear,Tshirts,White,Casual,Disney Kids Girl's Red And White Minnie Flower Kidswear,3904.jpg,http://assets.myntassets.com/v1/images/style/properties/fca3390939df2b2a53a357142a056c13_images.jpg
18,11979,3,Men,Footwear,Shoes,Casual Shoes,Black,Casual,Fila Men Glam Black Casual Shoes,11979.jpg,http://assets.myntassets.com/v1/images/style/properties/f7f6a5fb69c690023ef5fc3c5c3c39be_images.jpg
19,41236,1,Girls,Apparel,Bottomwear,Capris,Black,Casual,Gini and Jony Kids Girls Black Capris,41236.jpg,http://assets.myntassets.com/v1/images/style/properties/Palm-Tree-Boys-Black-Capris_afea5f6fa81b39cb66895392092f8695_images.jpg
19,33302,3,Boys,Apparel,Topwear,Tshirts,Red,Casual,Palm Tree Boys Pack of 2 T-shirts,33302.jpg,http://assets.myntassets.com/v1/images/style/properties/1953f2f2d877a2e8907154416335edc2_images.jpg
19,21873,3,Boys,Apparel,Topwear,Tshirts,Green,Casual,Chhota Bheem Kids Boys Lets Rock Green T-shirt,21873.jpg,http://assets.myntassets.com/v1/images/style/properties/05daf32b2b528d2ac51e54a17eda5f7c_images.jpg
20,44202,3,Women,Footwear,Flip Flops,Flip Flops,Purple,Casual,iPanema Women Purple Flip Flops,44202.jpg,http://assets.myntassets.com/v1/images/style/properties/9f93de04fbb01798fe332fc7c928711e_images.jpg
20,40971,3,Men,Footwear,Shoes,Casual Shoes,Brown,Casual,Buckaroo Men Brown Casual Shoes,40971.jpg,http://assets.myntassets.com/v1/images/style/properties/e5b5823706a1c890f4300f30c92f59b2_images.jpg
20,10672,2,Girls,Apparel,Topwear,Tops,Purple,Casual,Doodle Girls Little song board Purple Tops,10672.jpg,http://assets.myntassets.com/v1/images/style/properties/7e76f6f825d34f8c0c44e29a600b1422_images.jpg
21,26554,3,Men,Footwear,Shoes,Casual Shoes,Blue,Casual,ID Men Blue Shoes,26554.jpg,http://assets.myntassets.com/v1/images/style/properties/f49e87ba6c03e16135b2e79da78dc5b8_images.jpg
21,15542,3,Women,Footwear,Shoes,Heels,Multi,Casual,Catwalk Women Casual Multi Flats,15542.jpg,http://assets.myntassets.com/v1/images/style/properties/4a1726401d64413e46ec51c2115c4909_images.jpg
21,13649,3,Men,Footwear,Shoes,Casual Shoes,Black,Casual,ADIDAS Black Hydroterra Shandal Casual Shoes,13649.jpg,http://assets.myntassets.com/v1/images/style/properties/3053dc9877f1fd1209cfc4ee1b5e9171_images.jpg
22,3797,2,Men,Footwear,Shoes,Casual Shoes,Black,Casual,Converse Men Black & Red Shoes,3797.jpg,http://assets.myntassets.com/v1/image/style/properties/3797/Converse-Men-Black--Red-Shoes_1_fe02c8391327729cd4b739c4bc555a7a.jpg
22,7842,3,Women,Footwear,Shoes,Sports Shoes,Black,Sports,Puma Women Osu NM Black Purple Shoe,7842.jpg,http://assets.myntassets.com/v1/images/style/properties/a6d64de77322cbe6efcd6370f07dcbd7_images.jpg
22,31947,2,Men,Footwear,Shoes,Sports Shoes,Grey,Sports,Nike Men Air Pegasus Grey Sports Shoes,31947.jpg,http://assets.myntassets.com/v1/images/style/properties/4274e4e982c115d304677e3167cf478b_images.jpg
23,41669,2,Women,Footwear,Shoes,Heels,Silver,Casual,Catwalk Women Silver Heels,41669.jpg,http://assets.myntassets.com/v1/images/style/properties/a87cc5ed84c4882d76413571787cad2f_images.jpg
23,25035,3,Boys,Apparel,Topwear,Tshirts,Blue,Casual,Nike Boys Stripy Crew Blue T-shirt,25035.jpg,http://assets.myntassets.com/v1/images/style/properties/f92b92394bbe75718dbf885ce268878a_images.jpg
23,57950,1,Men,Footwear,Shoes,Formal Shoes,Brown,Formal,Clarks Men Brown Formal Shoes,57950.jpg,http://assets.myntassets.com/v1/images/style/properties/Clarks-Men-Brown-Formal-Shoes_cae81cf723ab38cd1a0921981bba2a05_images.jpg
23,31143,3,Boys,Apparel,Topwear,Tshirts,Green,Casual,Gini and Jony Boys Printed Green T-shirt,31143.jpg,http://assets.myntassets.com/v1/images/style/properties/319f01745011545b1af08760fd1a6157_images.jpg
24,4742,3,Women,Footwear,Shoes,Casual Shoes,Grey,Casual,Numero Uno Women NY Grey Blue Shoe,4742.jpg,http://assets.myntassets.com/v1/images/style/properties/50bd9632cbdacba06c727420f467c959_images.jpg
24,15520,3,Men,Footwear,Shoes,Casual Shoes,Black,Casual,Rockport Men CV Wing Black Casual Shoes,15520.jpg,http://assets.myntassets.com/v1/images/style/properties/a5f34ba3e351e71badbf97de3ae80c15_images.jpg
24,40130,3,Boys,Apparel,Topwear,Shirts,White,Casual,Gini and Jony Boys Core White Shirt,40130.jpg,http://assets.myntassets.com/v1/images/style/properties/94578e0e1a9c20949c6fc2d638cf101e_images.jpg
24,24873,3,Boys,Apparel,Topwear,Tshirts,White,Casual,United Colors of Benetton Kids Boys White Striped T-shirt,24873.jpg,http://assets.myntassets.com/v1/images/style/properties/f3bd7cb3642f87d379e544d930008af1_images.jpg
24,5296,3,Men,Footwear,Sandal,Sandals,Black,Casual,Puma Men Black Floater,5296.jpg,http://assets.myntassets.com/v1/images/style/properties/f5591109328d6f69462df128965a8258_images.jpg
24,4512,3,Women,Footwear,Shoes,Sports Shoes,Grey,Sports,Lotto Women Osaka Grey Violet Shoe,4512.jpg,http://assets.myntassets.com/v1/images/style/properties/ca70f3039d167c2b161e684a4ceb0b96_images.jpg
24,55657,3,Women,Footwear,Shoes,Heels,Gold,Casual,Catwalk Women Golden Wedges,55657.jpg,http://assets.myntassets.com/v1/images/style/properties/Catwalk-Women-Golden-Sandals_5fddd65067f3c7c0224439efc7a99ac8_images.jpg
24,2708,3,Girls,Apparel,Dress,Dresses,White,Casual,Disney Kids Girl's White Dress Pooh Kidswear,2708.jpg,http://assets.myntassets.com/v1/images/style/properties/43bebe24a5aeacfbef2201f0ba264fc4_images.jpg
25,44714,2,Men,Footwear,Flip Flops,Flip Flops,Maroon,Casual,Lotto Men Maroon Juve Flip Flop,44714.jpg,http://assets.myntassets.com/v1/images/style/properties/02d77ac6bf8e51ea28378b0f1bfd7e00_images.jpg
25,29236,3,Women,Footwear,Sandal,Sports Sandals,Navy Blue,Casual,Puma Women Roque Navy Blue Sandals,29236.jpg,http://assets.myntassets.com/v1/images/style/properties/a4a99deb5ed6405de23b63091696a012_images.jpg
25,11948,2,Men,Footwear,Shoes,Casual Shoes,Black,Casual,Ganuchi Men Casual Black Casual Shoes,11948.jpg,http://assets.myntassets.com/v1/images/style/properties/3622942da5d2451489f5d16f4136b1c3_images.jpg
25,35378,2,Women,Footwear,Shoes,Heels,Green,Casual,Senorita Women Green Flats,35378.jpg,http://assets.myntassets.com/v1/images/style/properties/aec586d0742698b27a2864aeedd7d69d_images.jpg
26,59051,1,Women,Footwear,Shoes,Flats,Black,Casual,Carlton London Women Black & Gold Toned Flats,59051.jpg,http://assets.myntassets.com/v1/images/style/properties/Carlton-London-Women-Black-Gladiator-Sandals_b8f695202ccc1889f65d57b4000a888f_images.jpg
26,30727,3,Girls,Apparel,Bottomwear,Salwar,Green,Ethnic,Fabindia Girls Green Mangalgiri Salwar,30727.jpg,http://assets.myntassets.com/v1/images/style/properties/0b2f0aea6f63b8891ab60dcf268827a2_images.jpg
26,2211,2,Men,Footwear,Sandal,Sandals,Navy Blue,Casual,Puma Men Trek Navy Blue Floater,2211.jpg,http://assets.myntassets.com/v1/images/style/properties/489285fce42ff6b4a5d6be37c26a971d_images.jpg
26,15062,1,Men,Footwear,Sandal,Sandals,Brown,Casual,Franco Leone Men Brown Sandal,15062.jpg,http://assets.myntassets.com/v1/images/style/properties/c748416626eff308712f1aafb439c38d_images.jpg
26,4210,2,Boys,Apparel,Topwear,Tshirts,Blue,Casual,Disney Kids Boy's Blue Mickey Mouse Kidswear,4210.jpg,http://assets.myntassets.com/v1/images/style/properties/c488ace119583d86a6f8aad3a413b714_images.jpg
26,30727,2,Girls,Apparel,Bottomwear,Salwar,Green,Ethnic,Fabindia Girls Green Mangalgiri Salwar,30727.jpg,http://assets.myntassets.com/v1/images/style/properties/0b2f0aea6f63b8891ab60dcf268827a2_images.jpg
27,14430,2,Women,Footwear,Shoes,Casual Shoes,Black,Casual,Enroute Women Casual Black Casual Shoes,14430.jpg,http://assets.myntassets.com/v1/images/style/properties/66af9eb6bc24d0df733d75b789c05e38_images.jpg
