index,ProductId,Gender,Category,SubCategory,ProductType,Colour,Usage,ProductTitle,Image,ImageURL,CustomerId
425,21863,Girls,Apparel,Topwear,Tops,Yellow,Casual,Chhota Bheem Kids Girls Lets Catch Them Yellow Top,21863.jpg,http://assets.myntassets.com/v1/images/style/properties/fa10019b09df17da1f1abf127564d4a4_images.jpg,3
1524,7363,Men,Footwear,Shoes,Formal Shoes,Black,Formal,Red Tape Men Black Semi Formal Shoes,7363.jpg,http://assets.myntassets.com/v1/images/style/properties/Red-Tape-Men-Black-Semi-Formal-Shoes_6d0e438208cfddf1a1c0423a04a3cc21_images.jpg,701
329,3902,Girls,Apparel,Topwear,Tshirts,Pink,Casual,Disney Kids Girl's Minnie And Daisy Pink Kidswear,3902.jpg,http://assets.myntassets.com/v1/images/style/properties/2fd473b0c70793f5f7a5278c1d98de70_images.jpg,471
1934,4576,Men,Footwear,Shoes,Sports Shoes,Grey,Sports,Nike Men's Incinera Grey Shoe,4576.jpg,http://assets.myntassets.com/v1/images/style/properties/33d5b86f0a0c396c4be6f05ea82e7a23_images.jpg,997
1943,14497,Men,Footwear,Shoes,Casual Shoes,Green,Casual,Flying Machine Men Casual Green Casual Shoes,14497.jpg,http://assets.myntassets.com/v1/images/style/properties/f50c7bc8ea0a995334e9b01d81b45c31_images.jpg,213
2828,3497,Women,Footwear,Shoes,Casual Shoes,Blue,Casual,ADIDAS Women Boat Black Icegrey Shoe,3497.jpg,http://assets.myntassets.com/v1/images/style/properties/755a22520605caafbe5c1365d9efeb4b_images.jpg,503
416,2702,Girls,Apparel,Topwear,Shirts,Blue,Casual,Disney Kids Girl's Blue Check Kidswear Shirt,2702.jpg,http://assets.myntassets.com/v1/images/style/properties/9b347b32ebb06258003a14103ac0b699_images.jpg,732
1999,7331,Men,Footwear,Shoes,Formal Shoes,Brown,Formal,Red Tape Men's Formal Light Brown Shoe,7331.jpg,http://assets.myntassets.com/v1/images/style/properties/067ed592a5c26be0a4b6a6adbb4f9feb_images.jpg,909
1359,12958,Men,Footwear,Shoes,Sports Shoes,Black,Sports,ADIDAS Men Sports Black Sports Shoes,12958.jpg,http://assets.myntassets.com/v1/images/style/properties/9c0d1badace8d2eb9680232648e94d85_images.jpg,104
565,37267,Girls,Apparel,Dress,Dresses,Red,Casual,United Colors of Benetton Girls Red Printed Dress,37267.jpg,http://assets.myntassets.com/v1/images/style/properties/United-Colors-of-Benetton-Girls-Red-Printed-Dress_06324ea0ce0cb4cc0348695a608bc307_images.jpg,554
283,37626,Girls,Apparel,Topwear,Tshirts,Pink,Casual,Madagascar3 Girls Pink Printed T-Shirt,37626.jpg,http://assets.myntassets.com/v1/images/style/properties/fa0ecb64ce7355bb84dbb8d7d405e166_images.jpg,242
293,3903,Girls,Apparel,Topwear,Tshirts,Yellow,Casual,Disney Kids Girl's Minnie And Daisy Yellow Kidswear,3903.jpg,http://assets.myntassets.com/v1/images/style/properties/2c64fec80fae74b70b56151efac7c3d6_images.jpg,617
2883,20762,Women,Footwear,Shoes,Heels,Red,Casual,Carlton London  Women Casual Red Sandals,20762.jpg,http://assets.myntassets.com/v1/images/style/properties/82cbc630bff87604d139fd714beadd52_images.jpg,227
2548,42995,Women,Footwear,Shoes,Sports Shoes,Black,Sports,Nike Women Black Air Total Sports Shoes,42995.jpg,http://assets.myntassets.com/v1/images/style/properties/c9e069f712668785c1b61931a485055a_images.jpg,67
613,34039,Boys,Apparel,Topwear,Shirts,Red,Casual,Palm Tree Boys Check Red Shirt,34039.jpg,http://assets.myntassets.com/v1/images/style/properties/df2f1f0a16ea4432a390ba9c9eafd984_images.jpg,761
303,3904,Girls,Apparel,Topwear,Tshirts,White,Casual,Disney Kids Girl's Red And White Minnie Flower Kidswear,3904.jpg,http://assets.myntassets.com/v1/images/style/properties/fca3390939df2b2a53a357142a056c13_images.jpg,172
1178,37187,Boys,Apparel,Topwear,Tshirts,White,Casual,United Colors of Benetton Boys Printed White T-shirt,37187.jpg,http://assets.myntassets.com/v1/images/style/properties/0b058a786ab7a384ee898f1fbf405e72_images.jpg,990
132,38328,Girls,Apparel,Topwear,Tops,Pink,Casual,Hannah Montana Girls Pink Top,38328.jpg,http://assets.myntassets.com/v1/images/style/properties/ca791a4fd15edf47eec63b406a8058d4_images.jpg,513
2851,20753,Women,Footwear,Shoes,Heels,Silver,Casual,Carlton London  Women Classy Silver Stilettos,20753.jpg,http://assets.myntassets.com/v1/images/style/properties/d52a4d90779343c2680fdf5325a88592_images.jpg,317
1582,2828,Men,Footwear,Shoes,Casual Shoes,Blue,Casual,Lee Cooper Men's LC Casual Denim Blue Shoe,2828.jpg,http://assets.myntassets.com/v1/images/style/properties/d8fbc6ec5c348077864f687febb98cca_images.jpg,481
1501,3161,Men,Footwear,Shoes,Sports Shoes,White,Sports,Nike Men's Air Citius MSL White Grey Shoe,3161.jpg,http://assets.myntassets.com/v1/images/style/properties/baffde85f36e72580d7246b0952ee688_images.jpg,282
1191,36000,Boys,Apparel,Topwear,Tshirts,Navy Blue,Casual,Ben 10 Boys Navy Blue T-shirt,36000.jpg,http://assets.myntassets.com/v1/images/style/properties/4cb9aa5af5e6313197709ce16bfc7fc8_images.jpg,434
736,23131,Boys,Apparel,Topwear,Tshirts,White,Casual,Chhota Bheem Kids Boys Holi Hai White T-shirt,23131.jpg,http://assets.myntassets.com/v1/images/style/properties/128aa08d6ca2c848a851ff9889f41f62_images.jpg,57
1827,16152,Men,Footwear,Shoes,Formal Shoes,Brown,Formal,Enroute Men Leather Brown Formal Shoes,16152.jpg,http://assets.myntassets.com/v1/images/style/properties/2ba5a829cc364c32b327839a47f43e8e_images.jpg,670
1105,4204,Boys,Apparel,Topwear,Tshirts,White,Casual,Disney Kids Boy's White Regatta Annual Competition Kidswear,4204.jpg,http://assets.myntassets.com/v1/images/style/properties/e8ad811fe2baa113e3fde0408fe2f479_images.jpg,844
714,37598,Boys,Apparel,Topwear,Tshirts,Blue,Casual,Madagascar3 Boys Blue Printed T-Shirt,37598.jpg,http://assets.myntassets.com/v1/images/style/properties/5b9844fcce9a01ff95b53bb6b6f413f7_images.jpg,478
2229,6447,Women,Footwear,Flip Flops,Flip Flops,Black,Casual,Lotto Women's Cross Color Black Pink Flip Flop,6447.jpg,http://assets.myntassets.com/v1/images/style/properties/51fa3d647626db62f8e1b2b22aee9dbd_images.jpg,961
64,8383,Girls,Apparel,Topwear,Tshirts,Blue,Casual,Doodle Girl's Raw Edges Light Blue Teen Kidswear,8383.jpg,http://assets.myntassets.com/v1/images/style/properties/3752756c42f6f2ba5704c4e5c9d36b17_images.jpg,272
176,39849,Girls,Apparel,Topwear,Tops,Blue,Casual,Gini and Jony Girls Striped Blue Top,39849.jpg,http://assets.myntassets.com/v1/images/style/properties/b45ca9f0de9d375d3276e0eb191988d9_images.jpg,672
652,29177,Boys,Apparel,Bottomwear,Shorts,Blue,Casual,United Colors of Benetton Boys Blue Shorts,29177.jpg,http://assets.myntassets.com/v1/images/style/properties/2ae9ae3d5e68c52333a0cddd3cd82372_images.jpg,495
2047,8984,Men,Footwear,Shoes,Casual Shoes,Green,Casual,Puma Men TX-3 Green Casual Shoes,8984.jpg,http://assets.myntassets.com/v1/images/style/properties/8002a8c76c3bc5a7337fbca8c28ae2d9_images.jpg,818
2384,4146,Women,Footwear,Shoes,Sports Shoes,White,Sports,Nike Women Trainer White Purple Shoe,4146.jpg,http://assets.myntassets.com/v1/images/style/properties/3fdda2893609ddafe1a29631bed51c91_images.jpg,34
1800,9030,Men,Footwear,Shoes,Casual Shoes,Brown,Casual,Buckaroo Men loma Brown Casual Shoes,9030.jpg,http://assets.myntassets.com/v1/images/style/properties/71a4e1fa5abfa2146a0ebea59b723d5d_images.jpg,979
2067,11923,Men,Footwear,Shoes,Formal Shoes,Brown,Formal,Franco Leone Men Formal Brown Formal Shoes,11923.jpg,http://assets.myntassets.com/v1/images/style/properties/9313abbf7f92dbb61e12acab6dd2ba39_images.jpg,381
177,37576,Girls,Apparel,Socks,Booties,White,Casual,Madagascar 3 Infant Girls White Booties,37576.jpg,http://assets.myntassets.com/v1/images/style/properties/fb0b4f85873f045107207dd9da40e56c_images.jpg,681
1816,32757,Men,Footwear,Shoes,Casual Shoes,Multi,Casual,Fila Men Glam II Multi Coloured Shoes,32757.jpg,http://assets.myntassets.com/v1/images/style/properties/79bf7d8999eeeabe2470ebff7e3a6b9f_images.jpg,415
1631,14496,Men,Footwear,Shoes,Casual Shoes,Grey,Casual,Flying Machine Men Casual Grey Casual Shoes,14496.jpg,http://assets.myntassets.com/v1/images/style/properties/e049a003fb6a4def8cce97f6ff7e0cc7_images.jpg,850
2826,32854,Women,Footwear,Shoes,Heels,Black,Casual,Grendha Women Kall Ad Black Flats,32854.jpg,http://assets.myntassets.com/v1/images/style/properties/f02d9dcaa27d259addc81fe162edd7c4_images.jpg,118
1867,22152,Men,Footwear,Sandal,Sandals,Olive,Casual,Lee Cooper Men Casual Sandals,22152.jpg,http://assets.myntassets.com/v1/images/style/properties/94b46fd2b139a7b2397ca25628704dbd_images.jpg,795
1383,47198,Men,Footwear,Sandal,Sandals,Brown,Casual,Franco Leone Men Brown Sandals,47198.jpg,http://assets.myntassets.com/v1/images/style/properties/08be9002361c65ffa2e08a8f12464f56_images.jpg,563
406,18173,Girls,Apparel,Topwear,Tops,Magenta,Casual,Doodle Kids Girls Layer Magenta Top,18173.jpg,http://assets.myntassets.com/v1/images/style/properties/125d4e288484ab5eb9b3576d10c4f90b_images.jpg,676
243,34012,Girls,Apparel,Topwear,Tops,White,Casual,Palm Tree Girls Printed White Top,34012.jpg,http://assets.myntassets.com/v1/images/style/properties/5ede19bb10a6c5673c89acbc280ae2ba_images.jpg,286
1092,37532,Boys,Apparel,Topwear,Tshirts,Blue,Casual,Madagascar3 Infant Boys Light Blue T-Shirt,37532.jpg,http://assets.myntassets.com/v1/images/style/properties/7ec9161e38857bfc301fee45e6628de7_images.jpg,306
492,4216,Girls,Apparel,Topwear,Tshirts,Yellow,Casual,Disney Kids Girl's Yellow Fun In The Fair Kidswear,4216.jpg,http://assets.myntassets.com/v1/images/style/properties/3458de8c3de523b83e802072d4c7be75_images.jpg,244
1573,31979,Men,Footwear,Shoes,Sports Shoes,Grey,Sports,Nike Men Lunarswift +3 Grey Sports Shoes,31979.jpg,http://assets.myntassets.com/v1/images/style/properties/7befb37221105961c017e679245ce9f6_images.jpg,578
2531,56933,Women,Footwear,Shoes,Heels,Purple,Casual,HM Women Purple Flats,56933.jpg,http://assets.myntassets.com/v1/images/style/properties/HM-Women-Purple-Sandals_3a1c906c5a7d7274948fcb729235c80e_images.jpg,990
2643,37968,Women,Footwear,Shoes,Heels,Turquoise Blue,Casual,Clarks Women Santa Rock Turquoise Blue Flats,37968.jpg,http://assets.myntassets.com/v1/images/style/properties/9072e2fc308cd02b0a1ac92c969829ea_images.jpg,395
2846,20906,Women,Footwear,Shoes,Heels,Red,Casual,Catwalk Women Casual Red Heels,20906.jpg,http://assets.myntassets.com/v1/images/style/properties/37e5078b917b88049642f0ff6091ea65_images.jpg,730
1530,3551,Men,Footwear,Shoes,Casual Shoes,Brown,Casual,Skechers Men's Charcoal Lifestyle Shoe,3551.jpg,http://assets.myntassets.com/v1/images/style/properties/cbfbb7dc1aee995012f8bc9cda960063_images.jpg,577
1757,15518,Men,Footwear,Shoes,Casual Shoes,Grey,Casual,Rockport Men Slatkin Grey Casual Shoes,15518.jpg,http://assets.myntassets.com/v1/images/style/properties/44f874fe55936fec7c0fe8679d435344_images.jpg,887
2698,59146,Women,Footwear,Shoes,Heels,Black,Casual,Tiptopp Women Black Sandals,59146.jpg,http://assets.myntassets.com/v1/images/style/properties/Tiptopp-Women-Black-Sandals_0e4241d9ff44a2a22ab04cbeb3407948_images.jpg,286
1297,34028,Boys,Apparel,Topwear,Shirts,Black,Casual,Gini and Jony Boys Check White & Black Shirt,34028.jpg,http://assets.myntassets.com/v1/images/style/properties/864617ce4fada18224ad8ba5fe4b9e84_images.jpg,852
2177,4147,Women,Footwear,Shoes,Sports Shoes,White,Sports,Nike Women Glide White Grey Shoe,4147.jpg,http://assets.myntassets.com/v1/images/style/properties/bcb241296d93b8198038571a64f99b97_images.jpg,718
435,13341,Girls,Apparel,Bottomwear,Capris,Purple,Casual,Gini and Jony Girls Purple Capris,13341.jpg,http://assets.myntassets.com/v1/images/style/properties/Gini-and-Jony-Kids-Girls-Solid-Purple-Capris_c0539493326d8119a49b6eb5f2b0307f_images.jpg,482
2790,37967,Women,Footwear,Shoes,Heels,White,Casual,Clarks Women Un Swish Patent White Sandals,37967.jpg,http://assets.myntassets.com/v1/images/style/properties/8e1c531e81c1571e62f201c1926a40f8_images.jpg,645
2850,45330,Women,Footwear,Shoes,Heels,Red,Casual,Cobblerz Women Red Heels,45330.jpg,http://assets.myntassets.com/v1/images/style/properties/12e801375630e31c4c0c7f81acefa8b7_images.jpg,629
1582,2828,Men,Footwear,Shoes,Casual Shoes,Blue,Casual,Lee Cooper Men's LC Casual Denim Blue Shoe,2828.jpg,http://assets.myntassets.com/v1/images/style/properties/d8fbc6ec5c348077864f687febb98cca_images.jpg,361
2038,57507,Men,Footwear,Sandal,Sandals,Black,Casual,Lee Cooper Men Black  Sandals,57507.jpg,http://assets.myntassets.com/v1/images/style/properties/Lee-Cooper-Men-Black-Sandals_1b0f7922cd4ca61ee33d35927163a007_images.jpg,597
408,24943,Girls,Apparel,Topwear,Tshirts,White,Casual,United Colors of Benetton Kids Girls White T-shirt,24943.jpg,http://assets.myntassets.com/v1/images/style/properties/788904686845d131b3080703b7ed833f_images.jpg,98
26,39328,Girls,Apparel,Bottomwear,Shorts,Green,Casual,Gini and Jony Girls Green Shorts,39328.jpg,http://assets.myntassets.com/v1/images/style/properties/7ed1ca17fdfdefdd6320156fe7ea7292_images.jpg,146
754,4207,Boys,Apparel,Topwear,Tshirts,Blue,Casual,Disney Kids Boy's Blue Colourtastic Kidswear,4207.jpg,http://assets.myntassets.com/v1/images/style/properties/68558fd530e1ea0491b29712dbea213c_images.jpg,530
2238,50175,Women,Footwear,Shoes,Flats,Black,Casual,Rocia Women Black & Brown Flats,50175.jpg,http://assets.myntassets.com/v1/images/style/properties/Rocia-Women-Black---Brown-Flats_8cf9dbde80372cebd510a6d166be4272_images.jpg,885
589,8340,Boys,Apparel,Topwear,Tshirts,Black,Casual,Doodle Boy's Volleyball Champion Black White Kidswear,8340.jpg,http://assets.myntassets.com/v1/images/style/properties/8bf8c2293d894430bb7066404c8022a5_images.jpg,615
2469,49608,Women,Footwear,Shoes,Casual Shoes,Red,Casual,Catwalk Women Red Shoes,49608.jpg,http://assets.myntassets.com/v1/images/style/properties/5055777a92b6b46240d58dd31eb46ba8_images.jpg,436
1,34009,Girls,Apparel,Topwear,Tops,Black,Casual,Gini and Jony Girls Black Top,34009.jpg,http://assets.myntassets.com/v1/images/style/properties/dce310e4c15223a6c964631190263284_images.jpg,250
867,31166,Boys,Apparel,Bottomwear,Shorts,Blue,Casual,Gini and Jony Boys Washed Blue Denim Shorts,31166.jpg,http://assets.myntassets.com/v1/images/style/properties/7eb094970578ba2318628d103d74a094_images.jpg,759
1975,9090,Men,Footwear,Shoes,Casual Shoes,Black,Casual,Buckaroo Men Valle Black Casual Shoes,9090.jpg,http://assets.myntassets.com/v1/images/style/properties/ca13b77121b5d3808d7ea020e0492d61_images.jpg,840
338,50719,Girls,Apparel,Topwear,Tops,Red,Casual,Doodle Girls Red Printed Top,50719.jpg,http://assets.myntassets.com/v1/images/style/properties/9c3c4ce6364de301f02d3d43c72e0fe8_images.jpg,234
2185,11516,Women,Footwear,Shoes,Heels,Black,Casual,Catwalk Women Lifestyle Black Heels,11516.jpg,http://assets.myntassets.com/v1/images/style/properties/8dfd8801f1cdaa6b3a815f6f97f6dac7_images.jpg,418
722,41985,Boys,Apparel,Topwear,Tshirts,Yellow,Casual,Gini and Jony Boys Under The SunYellow T-shirt,41985.jpg,http://assets.myntassets.com/v1/images/style/properties/f85a000cb1db854b5a9ab51df4bdaf25_images.jpg,822
618,8324,Boys,Apparel,Topwear,Tshirts,White,Casual,Doodle Boy's Athletic 77 Dept White Kidswear,8324.jpg,http://assets.myntassets.com/v1/images/style/properties/4c5a824570499b10fd868889c206f799_images.jpg,545
1080,35457,Boys,Apparel,Topwear,Tshirts,Grey,Casual,Doodle Boys Printed Grey T-shirt,35457.jpg,http://assets.myntassets.com/v1/images/style/properties/d62738cc5bda430123a0b5638467c882_images.jpg,592
2255,13027,Women,Footwear,Shoes,Heels,Gold,Casual,Inc 5 Women Casual Gold Flats,13027.jpg,http://assets.myntassets.com/v1/images/style/properties/9d70af39b13503d1ae27c581dc5e711d_images.jpg,510
1883,10632,Men,Footwear,Shoes,Casual Shoes,Brown,Casual,Carlton London Men Brown Shoes,10632.jpg,http://assets.myntassets.com/v1/images/style/properties/Carlton-London-Men-CL-semi-cas-Brown-Casual-Shoes_a9d0af87aa3dcfaeee65b44432de7fea_images.jpg,913
1299,36323,Boys,Apparel,Topwear,Tshirts,Green,Casual,Mr.Men Boys Mr. Funny Green T-shirt,36323.jpg,http://assets.myntassets.com/v1/images/style/properties/0a99f5359ba8ba65c616347a58a06697_images.jpg,660
1840,19122,Men,Footwear,Flip Flops,Flip Flops,White,Casual,Lotto Men XL Water Man White Slippers,19122.jpg,http://assets.myntassets.com/v1/images/style/properties/15e0953c017540f7644199f7181db74f_images.jpg,297
1793,10293,Men,Footwear,Sandal,Sandals,Brown,Casual,Clarks Men Unstructured Leather Brown Sandals,10293.jpg,http://assets.myntassets.com/v1/images/style/properties/566b15c0f837887c3b42c3e1dae8605a_images.jpg,104
2091,17960,Men,Footwear,Sandal,Sandals,Black,Casual,Puma Men Hopper Black Sandal,17960.jpg,http://assets.myntassets.com/v1/images/style/properties/ef372f03e1ba9c6d634b4b1ee17c7cc7_images.jpg,96
872,39759,Boys,Apparel,Bottomwear,Shorts,Brown,Casual,Gini Jony Boys Brown Shorts,39759.jpg,http://assets.myntassets.com/v1/images/style/properties/8f09ed8b627007c84e76625b5ae6daa1_images.jpg,443
587,40922,Boys,Apparel,Topwear,Jackets,Blue,Casual,Gini and Jony Boys Rodeo Blue Jacket,40922.jpg,http://assets.myntassets.com/v1/images/style/properties/2a9bee8aea9497479e99de667d770008_images.jpg,837
163,2741,Girls,Apparel,Topwear,Tops,Pink,Casual,Disney Kids Girl's Pink Kidswear,2741.jpg,http://assets.myntassets.com/v1/images/style/properties/cf8defc53a6242dc720dc826c169ca11_images.jpg,997
229,5444,Girls,Apparel,Topwear,Tops,Black,Casual,Ant Kids Girl's Check Top Black Kidswear,5444.jpg,http://assets.myntassets.com/v1/images/style/properties/56881a82fc4389af32b2ce6970125601_images.jpg,793
1719,41436,Men,Footwear,Shoes,Sports Shoes,White,Casual,Lee Cooper Men Black & White Sports Shoes,41436.jpg,http://assets.myntassets.com/v1/images/style/properties/75dda63272645c9dedd6fcabd4eabd75_images.jpg,987
1042,34179,Boys,Apparel,Topwear,Tshirts,Navy Blue,Casual,Gini and Jony Boys Navy Blue T-shirt,34179.jpg,http://assets.myntassets.com/v1/images/style/properties/dd524acc61a70db6fe6345204bb46955_images.jpg,4
1339,19123,Men,Footwear,Flip Flops,Flip Flops,Silver,Casual,Lotto Men XL Water Man Silver Slippers,19123.jpg,http://assets.myntassets.com/v1/images/style/properties/69482728a521cbd2ba571e36016d5f63_images.jpg,415
1658,17026,Men,Footwear,Flip Flops,Flip Flops,Blue,Casual,Gas Men Beach Flip Flops,17026.jpg,http://assets.myntassets.com/v1/images/style/properties/1d6742e11f1176b43883efc4cd27ceca_images.jpg,650
2619,5911,Women,Footwear,Shoes,Casual Shoes,White,Casual,ADIDAS Women's Daily Vulc White Shoe,5911.jpg,http://assets.myntassets.com/v1/images/style/properties/d65951ea27a419b359eb79e934c8aba7_images.jpg,734
508,40993,Girls,Apparel,Topwear,Tops,Pink,Casual,Gini and Jony Girls Pink Striped Top,40993.jpg,http://assets.myntassets.com/assets/images/40993/2018/3/14/11521029937692-Gini-and-Jony-Girls-Woven-Pink-Tops-7341521029937469-1.jpg,946
2171,13045,Women,Footwear,Shoes,Flats,Maroon,Casual,Inc 5 Women Casual Maroon Sandals,13045.jpg,http://assets.myntassets.com/v1/images/style/properties/32d7552ec969da21fa44144d0feacd1b_images.jpg,421
758,24914,Boys,Apparel,Topwear,Tshirts,Green,Casual,United Colors of Benetton Kids Boys Green Printed T-shirt,24914.jpg,http://assets.myntassets.com/v1/images/style/properties/938ea072235ee4f54ebf9b18d1716d8f_images.jpg,411
312,4723,Girls,Apparel,Topwear,Tshirts,Blue,Casual,Disney Kids Girl's Jeans Blue Teen Kidswear,4723.jpg,http://assets.myntassets.com/v1/images/style/properties/770176927d2ab1128d7e84fc81a689af_images.jpg,141
1263,2691,Boys,Apparel,Bottomwear,Shorts,Blue,Casual,Disney Kids Boy's Mickey Blue Denim Kidswear,2691.jpg,http://assets.myntassets.com/v1/images/style/properties/afec73c71df4c7f38b4ec3b8db63570f_images.jpg,690
893,5426,Boys,Apparel,Topwear,Tshirts,Black,Casual,Ant Kids Boy's Black Cartoon Pop Kidswear,5426.jpg,http://assets.myntassets.com/v1/images/style/properties/02e93a8d02acd1a9ad6772c59c6daf5a_images.jpg,279
2536,45385,Women,Footwear,Shoes,Flats,Bronze,Casual,Rocia Women Bronze Sandals,45385.jpg,http://assets.myntassets.com/v1/images/style/properties/Rocia-Women-Bronze-Sandals_0a2417b058c511f073b3003a89665fde_images.jpg,931
282,29172,Girls,Apparel,Bottomwear,Skirts,Pink,Casual,United Colors of Benetton Kids Girls Printed Pink Skirt,29172.jpg,http://assets.myntassets.com/v1/images/style/properties/85470ee22d965c848c9cc4bebf05cc92_images.jpg,207
2347,54128,Women,Footwear,Shoes,Heels,Silver,Casual,Rocia Women Silver Heels,54128.jpg,http://assets.myntassets.com/v1/images/style/properties/45a07080e4db4d4209848a140ed18771_images.jpg,200
1678,33849,Men,Footwear,Shoes,Casual Shoes,Blue,Casual,Puma Men Blue Shoes,33849.jpg,http://assets.myntassets.com/v1/images/style/properties/0590736a280676ea2cd2b55107484776_images.jpg,870
820,37515,Boys,Apparel,Bottomwear,Leggings,Blue,Casual,Madagascar3 Infant Boys Blue Leggings,37515.jpg,http://assets.myntassets.com/v1/images/style/properties/bd1e49b3747f15406d532fcfac22173a_images.jpg,634
2687,13163,Women,Footwear,Shoes,Sports Shoes,Silver,Sports,Skechers Women Silver Coloured Shoes,13163.jpg,http://assets.myntassets.com/v1/images/style/properties/Skechers-Women-Accelators-Black-Sports-Shoes_ba915b3d200b87252ab33a6c516efba8_images.jpg,498
2630,4654,Women,Footwear,Sandal,Sports Sandals,Navy Blue,Casual,ADIDAS Women Receptor Navy Sandal,4654.jpg,http://assets.myntassets.com/v1/images/style/properties/f030ad49b1c4ef2de85716c732944162_images.jpg,747
